uri,day,headline_count,has_hero
www.nbcnews.com,2016-10-02,0,0
www.nbcnews.com,2016-10-03,0,0
www.nbcnews.com,2016-10-04,0,0
www.nbcnews.com,2016-10-05,0,0
www.nbcnews.com,2016-10-06,0,0
www.nbcnews.com,2016-10-07,0,0
www.nbcnews.com,2016-10-08,0,0
www.nbcnews.com,2016-10-09,0,0
www.nbcnews.com,2016-10-10,0,0
www.nbcnews.com,2016-10-11,0,0
www.nbcnews.com,2016-10-12,0,0
www.nbcnews.com,2016-10-13,0,0
www.nbcnews.com,2016-10-14,0,0
www.nbcnews.com,2016-10-15,0,0
www.nbcnews.com,2016-10-16,0,0
www.nbcnews.com,2016-10-17,0,0
www.nbcnews.com,2016-10-18,0,0
www.nbcnews.com,2016-10-19,0,0
www.nbcnews.com,2016-10-20,0,0
www.nbcnews.com,2016-10-21,0,0
www.nbcnews.com,2016-10-22,0,0
www.nbcnews.com,2016-10-23,0,0
www.nbcnews.com,2016-10-24,0,0
www.nbcnews.com,2016-10-25,0,0
www.nbcnews.com,2016-10-26,0,0
www.nbcnews.com,2016-10-27,0,0
www.nbcnews.com,2016-10-28,0,0
www.nbcnews.com,2016-10-29,10,1
www.nbcnews.com,2016-10-30,10,1
www.nbcnews.com,2016-10-31,10,1
www.npr.org,2016-10-01,5,1
www.npr.org,2016-10-02,5,1
www.npr.org,2016-10-03,5,1
www.npr.org,2016-10-04,5,1
www.npr.org,2016-10-05,5,1
www.npr.org,2016-10-06,5,1
www.npr.org,2016-10-07,5,1
www.npr.org,2016-10-08,5,1
www.npr.org,2016-10-09,5,1
www.npr.org,2016-10-10,4,1
www.npr.org,2016-10-11,5,1
www.npr.org,2016-10-12,5,1
www.npr.org,2016-10-13,5,1
www.npr.org,2016-10-14,4,1
www.npr.org,2016-10-15,4,1
www.npr.org,2016-10-16,4,1
www.npr.org,2016-10-17,5,1
www.npr.org,2016-10-18,5,1
www.npr.org,2016-10-19,5,1
www.npr.org,2016-10-20,5,1
www.npr.org,2016-10-21,5,1
www.npr.org,2016-10-22,5,1
www.npr.org,2016-10-23,4,1
www.npr.org,2016-10-24,5,1
www.npr.org,2016-10-25,5,1
www.npr.org,2016-10-26,5,1
www.npr.org,2016-10-27,5,1
www.npr.org,2016-10-28,5,1
www.npr.org,2016-10-29,5,1
www.npr.org,2016-10-30,4,1
www.npr.org,2016-10-31,4,1
www.nytimes.com,2016-10-01,10,1
www.nytimes.com,2016-10-02,5,0
www.nytimes.com,2016-10-03,2,0
www.nytimes.com,2016-10-04,5,1
www.nytimes.com,2016-10-05,3,0
www.nytimes.com,2016-10-06,9,1
www.nytimes.com,2016-10-07,10,1
www.nytimes.com,2016-10-08,10,1
www.nytimes.com,2016-10-09,4,1
www.nytimes.com,2016-10-10,5,1
www.nytimes.com,2016-10-11,4,1
www.nytimes.com,2016-10-12,4,0
www.nytimes.com,2016-10-13,9,1
www.nytimes.com,2016-10-14,1,1
www.nytimes.com,2016-10-15,9,1
www.nytimes.com,2016-10-16,10,1
