uri,datetime,status_code
www.nytimes.com,2016-05-01T01:08:16,200
www.nytimes.com,2016-05-01T01:08:16,200
www.nytimes.com,2016-05-01T01:48:09,200
www.nytimes.com,2016-05-01T02:32:34,200
www.nytimes.com,2016-05-01T03:03:18,200
www.nytimes.com,2016-05-01T03:03:18,200
www.nytimes.com,2016-05-01T03:22:07,301
www.nytimes.com,2016-05-01T03:22:14,200
www.nytimes.com,2016-05-01T03:22:39,200
www.nytimes.com,2016-05-01T04:15:25,301
www.nytimes.com,2016-05-01T05:36:16,200
www.nytimes.com,2016-05-01T06:10:54,200
www.nytimes.com,2016-05-01T06:12:50,200
www.nytimes.com,2016-05-01T06:26:22,200
www.nytimes.com,2016-05-01T06:26:25,200
www.nytimes.com,2016-05-01T07:01:18,200
www.nytimes.com,2016-05-01T08:03:48,200
www.nytimes.com,2016-05-01T08:03:48,200
www.nytimes.com,2016-05-01T09:10:47,200
www.nytimes.com,2016-05-01T09:28:31,200
www.nytimes.com,2016-05-01T12:41:21,200
www.nytimes.com,2016-05-01T13:41:31,200
www.nytimes.com,2016-05-01T14:54:44,200
www.nytimes.com,2016-05-01T15:01:10,200
www.nytimes.com,2016-05-01T15:52:25,200
www.nytimes.com,2016-05-01T17:23:06,200
www.nytimes.com,2016-05-01T20:16:28,200
www.nytimes.com,2016-05-01T20:18:21,200
www.nytimes.com,2016-05-01T20:21:33,200
www.nytimes.com,2016-05-01T21:28:10,200
www.nytimes.com,2016-05-01T21:28:10,200
www.nytimes.com,2016-05-01T21:49:10,200
www.nytimes.com,2016-05-01T23:04:50,200
www.nytimes.com,2016-05-01T23:04:52,200
www.nytimes.com,2016-05-02T00:51:46,200
www.nytimes.com,2016-05-02T00:51:46,200
www.nytimes.com,2016-05-02T02:18:18,200
www.nytimes.com,2016-05-02T03:52:59,200
www.nytimes.com,2016-05-02T03:52:59,200
www.nytimes.com,2016-05-02T03:59:06,200
www.nytimes.com,2016-05-02T06:40:46,200
www.nytimes.com,2016-05-02T07:59:17,200
www.nytimes.com,2016-05-02T08:02:41,301
www.nytimes.com,2016-05-02T08:02:43,200
www.nytimes.com,2016-05-02T08:48:11,200
www.nytimes.com,2016-05-02T12:16:13,200
www.nytimes.com,2016-05-02T13:04:11,200
www.nytimes.com,2016-05-02T13:04:15,200
www.nytimes.com,2016-05-02T14:41:56,200
www.nytimes.com,2016-05-02T14:41:56,200
www.nytimes.com,2016-05-02T14:53:22,200
www.nytimes.com,2016-05-02T14:58:31,200
www.nytimes.com,2016-05-02T16:09:17,200
www.nytimes.com,2016-05-02T16:09:17,200
www.nytimes.com,2016-05-02T17:00:55,200
www.nytimes.com,2016-05-02T17:07:58,200
www.nytimes.com,2016-05-02T17:22:13,200
www.nytimes.com,2016-05-02T17:57:49,200
www.nytimes.com,2016-05-02T18:51:33,200
www.nytimes.com,2016-05-02T19:15:25,200
www.nytimes.com,2016-05-02T19:43:58,200
www.nytimes.com,2016-05-02T21:06:20,301
www.nytimes.com,2016-05-02T21:56:48,200
www.nytimes.com,2016-05-02T23:15:19,200
www.nytimes.com,2016-05-03T00:24:23,200
www.nytimes.com,2016-05-03T00:50:56,200
www.nytimes.com,2016-05-03T01:24:26,200
www.nytimes.com,2016-05-03T01:46:23,200
www.nytimes.com,2016-05-03T02:10:54,200
www.nytimes.com,2016-05-03T02:10:57,200
www.nytimes.com,2016-05-03T02:11:06,200
www.nytimes.com,2016-05-03T03:48:15,200
www.nytimes.com,2016-05-03T04:54:15,200
www.nytimes.com,2016-05-03T07:28:43,200
www.nytimes.com,2016-05-03T09:15:54,200
www.nytimes.com,2016-05-03T10:38:57,200
www.nytimes.com,2016-05-03T15:01:56,200
www.nytimes.com,2016-05-03T15:18:25,200
www.nytimes.com,2016-05-03T15:28:45,200
www.nytimes.com,2016-05-03T16:14:26,-
www.nytimes.com,2016-05-03T16:14:26,200
www.nytimes.com,2016-05-03T16:29:15,200
www.nytimes.com,2016-05-03T17:23:28,200
www.nytimes.com,2016-05-03T17:23:28,200
www.nytimes.com,2016-05-03T18:18:20,200
www.nytimes.com,2016-05-03T18:21:51,200
www.nytimes.com,2016-05-03T18:21:51,200
www.nytimes.com,2016-05-03T19:05:19,200
www.nytimes.com,2016-05-03T19:36:16,200
www.nytimes.com,2016-05-03T19:38:52,200
www.nytimes.com,2016-05-03T21:05:57,200
www.nytimes.com,2016-05-03T21:12:50,200
www.nytimes.com,2016-05-03T22:11:04,200
www.nytimes.com,2016-05-03T22:21:58,200
www.nytimes.com,2016-05-04T00:19:06,200
www.nytimes.com,2016-05-04T01:01:33,200
www.nytimes.com,2016-05-04T01:30:05,200
www.nytimes.com,2016-05-04T01:31:45,200
www.nytimes.com,2016-05-04T01:43:49,200
www.nytimes.com,2016-05-04T02:29:52,200
www.nytimes.com,2016-05-04T03:50:19,200
www.nytimes.com,2016-05-04T04:19:56,200
www.nytimes.com,2016-05-04T04:22:12,200
www.nytimes.com,2016-05-04T04:22:14,200
www.nytimes.com,2016-05-04T04:22:17,200
www.nytimes.com,2016-05-04T04:22:19,200
www.nytimes.com,2016-05-04T04:22:21,200
www.nytimes.com,2016-05-04T05:42:47,200
