day,date,cosine,entity
20,2016-11-20,0.17776305493601888,0.19735347318649635
16,2016-11-16,0.17553719980538363,0.20394840336101056
01,2016-11-01,0.13927342123943892,0.1766421108117324
17,2016-11-17,0.14990781094105604,0.16400833569430304
21,2016-11-21,0.17593632183890393,0.18698939800169143
10,2016-11-10,0.2515610304031259,0.17771593292619975
06,2016-11-06,0.1530385676921148,0.18950626626505213
26,2016-11-26,0.14544425123137295,0.17440456263980897
30,2016-11-30,0.14967324035482935,0.15911145683514602
27,2016-11-27,0.17185655755807328,0.22084367734794086
07,2016-11-07,0.15277530594959843,0.21077948105417918
11,2016-11-11,0.2121818368193609,0.27668578554642986
28,2016-11-28,0.17191750875356107,0.22428065200812827
04,2016-11-04,0.13128273335621798,0.14509525002200235
12,2016-11-12,0.1759491420531636,0.22496405936524233
24,2016-11-24,0.1584551879441387,0.17471781760734562
08,2016-11-08,0.16372759251588534,0.21320071635561041
09,2016-11-09,0.20607131923449004,0.3306151979731369
25,2016-11-25,0.12131278648391676,0.16543403837370224
13,2016-11-13,0.19486174818774596,0.2250175801852048
05,2016-11-05,0.14139608524137823,0.15304712811230214
29,2016-11-29,0.1640428843315956,0.2050290478394783
22,2016-11-22,0.15045604396268658,0.15516638613804506
18,2016-11-18,0.16634603415532265,0.1366348256472144
02,2016-11-02,0.12632303766410066,0.14629938062729395
14,2016-11-14,0.21146681992064142,0.2423781343541178
15,2016-11-15,0.17631681638519617,0.19679007573314464
03,2016-11-03,0.1495585785726887,0.16431468733196275
19,2016-11-19,0.1688146632953329,0.20821726724685163
23,2016-11-23,0.1646941382490909,0.16092176519570214
