k_val,date,cosine,entity
k3,2017-01-20,0.256649905057895,0.26261286571944514
k3,2017-01-16,0.20324946142602823,0.1856953381770519
k3,2017-01-01,0.19712885515253728,0.214422506967559
k3,2017-01-17,0.17390064948594908,0.1856953381770519
k3,2017-01-21,0.3414151302018058,0.44463597405662914
k3,2017-01-10,0.17529045920528655,0.2034190510862431
k3,2017-01-06,0.15871110761448964,0.2120696700934506
k3,2017-01-26,0.27587493005516084,0.28365431446558775
k3,2017-01-30,0.3565547000617841,0.49363768182700585
k3,2017-01-31,0.28704866748152713,0.3812088627568029
k3,2017-01-27,0.24693599497058588,0.23801312212863124
k3,2017-01-07,0.26375504942004785,0.38858351868954893
k3,2017-01-11,0.2151298828824038,0.24313226954193234
k3,2017-01-28,0.24369527408245836,0.2795727446304984
k3,2017-01-04,0.15948861145048449,0.2046262964094938
k3,2017-01-12,0.3144689745491227,0.2916461404928374
k3,2017-01-24,0.22205566915461294,0.26261286571944514
k3,2017-01-08,0.1951387617109964,0.24447927303255942
k3,2017-01-09,0.1260798716247586,0.14383899044561524
k3,2017-01-25,0.1845001547503738,0.2397316507426921
k3,2017-01-13,0.18633571144722622,0.2046262964094938
k3,2017-01-05,0.1674728168400544,0.2537081317024624
k3,2017-01-29,0.3362978121509332,0.4179864156622329
k3,2017-01-22,0.3099017095761563,0.23570226039551584
k3,2017-01-18,0.22582858984012577,0.3032392174315614
k3,2017-01-02,0.1702949412948645,0.1728729518208802
k3,2017-01-14,0.149808665047158,0.1728729518208802
k3,2017-01-15,0.24675831824021596,0.24913643956121992
k3,2017-01-03,0.1593747865023591,0.1793987403689809
k3,2017-01-19,0.17909102902671106,0.1856953381770519
k3,2017-01-23,0.19196571946755933,0.25306008943923786
k3,2016-12-20,0.2764371312605248,0.40012313375695696
k3,2016-12-16,0.13354213500472784,0.11097419040461882
k3,2016-12-01,0.16216100040524953,0.1516196087157807
k3,2016-12-17,0.2230233455318571,0.39537556712632077
k3,2016-12-21,0.21543779798410387,0.2327814256297667
k3,2016-12-10,0.15914532253396627,0.16609095970747995
k3,2016-12-06,0.14038985660465567,0.14383899044561524
k3,2016-12-26,0.2138575378391027,0.26261286571944514
k3,2016-12-30,0.23790361747235197,0.33903175181040524
k3,2016-12-31,0.20544281171383397,0.2916461404928374
k3,2016-12-27,0.13696410348961516,0.08304547985373997
k3,2016-12-07,0.17758720535957018,0.16609095970747995
k3,2016-12-11,0.2685069216504214,0.3713906763541038
k3,2016-12-28,0.2007939900050538,0.1856953381770519
k3,2016-12-04,0.21850080508361555,0.19178532059415368
k3,2016-12-12,0.235203029237912,0.19178532059415368
k3,2016-12-24,0.25950741249223286,0.3555795011093798
k3,2016-12-08,0.17224850071639303,0.19768778356316039
k3,2016-12-09,0.15899629964330772,0.21632852229109836
k3,2016-12-25,0.20921237848434068,0.21971768720102058
k3,2016-12-13,0.2833533735596502,0.44463597405662914
k3,2016-12-05,0.20841258583341288,0.2712254014483242
k3,2016-12-29,0.20599251286023598,0.3070063086700637
k3,2016-12-22,0.12476814287598013,0.1072112534837795
k3,2016-12-18,0.1761242983995546,0.1728729518208802
k3,2016-12-02,0.17463254373258885,0.16609095970747995
k3,2016-12-14,0.16641823598009794,0.22488822255440183
k3,2016-12-15,0.22044594697637362,0.20899320783111644
k3,2016-12-03,0.17519447922681317,0.19178532059415368
k3,2016-12-19,0.17384321281960538,0.19178532059415368
k3,2016-12-23,0.18461892791996037,0.1856953381770519
k3,2016-11-20,0.22635938544040718,0.20899320783111644
k3,2016-11-16,0.200509442716483,0.22194838080923765
k3,2016-11-01,0.19468972522813882,0.24447927303255942
k3,2016-11-17,0.221173728372647,0.23488808780588138
k3,2016-11-21,0.20420125875238482,0.19768778356316039
k3,2016-11-10,0.27752879520396273,0.22194838080923765
k3,2016-11-06,0.1990346936238257,0.29556102895862385
k3,2016-11-26,0.2300629909021426,0.2537081317024624
k3,2016-11-30,0.2280980135211121,0.2034190510862431
k3,2016-11-27,0.2400897764901839,0.2669538683295149
k3,2016-11-07,0.21918771693532596,0.2893852836004831
